DATE;SBC1;SBC2;SBC3;SBC4;INSIDE1;INSIDE2;OUTSIDE
2019-08-30 08:34:19;41.000;43.000;43.000;44.000;30.125;28.062;21.812
2019-08-30 08:34:39;41.000;43.000;44.000;45.000;30.125;28.062;21.812
2019-08-30 08:34:57;42.000;44.000;44.000;45.000;30.188;28.062;21.875
2019-08-30 08:35:16;42.000;45.000;45.000;45.000;30.188;28.125;21.875
2019-08-30 08:35:34;42.000;45.000;45.000;45.000;30.250;28.125;21.875
2019-08-30 08:35:53;43.000;45.000;46.000;46.000;30.250;28.125;21.938
2019-08-30 08:36:11;43.000;46.000;46.000;46.000;30.312;28.188;21.875
2019-08-30 08:36:28;43.000;46.000;47.000;46.000;30.375;28.188;21.875
2019-08-30 08:36:45;43.000;46.000;47.000;47.000;30.438;28.250;21.875
2019-08-30 08:37:01;44.000;47.000;47.000;47.000;30.438;28.250;21.875
2019-08-30 08:37:17;44.000;47.000;47.000;47.000;30.500;28.312;21.875
2019-08-30 08:37:34;45.000;47.000;48.000;47.000;30.562;28.312;21.875
2019-08-30 08:37:50;45.000;47.000;48.000;47.000;30.625;28.375;21.938
2019-08-30 08:38:06;45.000;47.000;48.000;47.000;30.688;28.375;21.875
2019-08-30 08:38:22;45.000;48.000;48.000;47.000;30.812;28.438;21.812
2019-08-30 08:38:39;45.000;48.000;49.000;48.000;30.812;28.500;21.875
2019-08-30 08:38:55;45.000;48.000;49.000;48.000;30.875;28.500;21.812
2019-08-30 08:39:12;46.000;48.000;49.000;48.000;30.938;28.562;21.875
2019-08-30 08:39:28;46.000;48.000;48.000;48.000;31.000;28.625;21.875
2019-08-30 08:39:44;46.000;49.000;48.000;48.000;31.062;28.625;21.875
2019-08-30 08:40:00;47.000;49.000;48.000;48.000;31.125;28.688;21.875
2019-08-30 08:40:17;47.000;49.000;49.000;49.000;31.188;28.750;21.875
2019-08-30 08:40:33;47.000;49.000;49.000;49.000;31.250;28.750;21.875
2019-08-30 08:40:49;47.000;49.000;50.000;49.000;31.312;28.812;21.875
2019-08-30 08:41:06;47.000;50.000;50.000;49.000;31.375;28.812;21.875
2019-08-30 08:41:22;47.000;50.000;50.000;49.000;31.500;28.875;21.875
2019-08-30 08:41:39;47.000;50.000;50.000;50.000;31.562;28.938;21.875
2019-08-30 08:41:55;47.000;50.000;50.000;50.000;31.562;29.000;21.875
2019-08-30 08:42:12;48.000;51.000;50.000;50.000;31.688;29.000;21.812
2019-08-30 08:42:28;48.000;51.000;50.000;50.000;31.688;29.062;21.812
2019-08-30 08:42:44;48.000;51.000;51.000;50.000;31.812;29.125;21.812
2019-08-30 08:43:00;49.000;51.000;51.000;50.000;31.875;29.125;21.875
2019-08-30 08:43:17;49.000;51.000;51.000;50.000;31.938;29.188;21.812
2019-08-30 08:43:33;49.000;52.000;52.000;50.000;32.000;29.250;21.875
2019-08-30 08:43:50;49.000;52.000;52.000;50.000;32.062;29.312;21.875
2019-08-30 08:44:06;49.000;52.000;52.000;50.000;32.125;29.312;21.875
2019-08-30 08:44:22;49.000;52.000;52.000;50.000;32.250;29.375;21.875
2019-08-30 08:44:39;49.000;52.000;52.000;51.000;32.312;29.438;22.000
2019-08-30 08:44:55;49.000;53.000;52.000;51.000;32.375;29.438;22.000
2019-08-30 08:45:11;49.000;53.000;52.000;51.000;32.438;29.500;22.000
2019-08-30 08:45:28;50.000;53.000;52.000;52.000;32.500;29.500;22.062
2019-08-30 08:45:44;50.000;53.000;52.000;52.000;32.562;29.562;22.062
2019-08-30 08:46:00;50.000;53.000;53.000;52.000;32.625;29.625;22.000
2019-08-30 08:46:17;51.000;54.000;54.000;52.000;32.688;29.688;22.000
2019-08-30 08:46:33;51.000;54.000;54.000;52.000;32.750;29.688;22.000
2019-08-30 08:46:49;51.000;54.000;54.000;52.000;32.812;29.750;22.062
2019-08-30 08:47:06;51.000;54.000;54.000;52.000;32.875;29.812;22.062
2019-08-30 08:47:22;51.000;54.000;54.000;52.000;32.938;29.875;22.062
2019-08-30 08:47:38;51.000;54.000;54.000;52.000;33.000;29.875;22.062
2019-08-30 08:47:55;51.000;54.000;54.000;52.000;33.062;30.000;22.062
2019-08-30 08:48:11;51.000;54.000;54.000;52.000;33.125;30.000;22.062
2019-08-30 08:48:28;51.000;54.000;54.000;52.000;33.188;30.000;22.125
2019-08-30 08:48:44;52.000;54.000;54.000;53.000;33.250;30.062;22.125
2019-08-30 08:49:00;52.000;54.000;54.000;53.000;33.312;30.125;22.125
2019-08-30 08:49:16;52.000;54.000;55.000;53.000;33.375;30.188;22.125
2019-08-30 08:49:32;52.000;54.000;55.000;53.000;33.438;30.188;22.188
2019-08-30 08:49:49;52.000;54.000;55.000;53.000;33.438;30.250;22.188
2019-08-30 08:50:05;52.000;55.000;55.000;53.000;33.500;30.312;22.250
2019-08-30 08:50:22;52.000;55.000;55.000;54.000;33.562;30.312;22.188
2019-08-30 08:50:38;52.000;55.000;55.000;54.000;33.625;30.438;22.125
2019-08-30 08:50:54;52.000;55.000;55.000;54.000;33.688;30.438;22.125
2019-08-30 08:51:11;52.000;55.000;56.000;54.000;33.750;30.438;22.062
2019-08-30 08:51:27;52.000;55.000;56.000;54.000;33.812;30.500;22.062
2019-08-30 08:51:43;52.000;55.000;56.000;54.000;33.875;30.562;22.062
2019-08-30 08:51:59;53.000;55.000;56.000;54.000;33.938;30.562;22.000
2019-08-30 08:52:16;53.000;55.000;56.000;54.000;33.938;30.625;21.938
2019-08-30 08:52:33;53.000;55.000;56.000;54.000;34.000;30.688;22.000
2019-08-30 08:52:49;53.000;55.000;56.000;54.000;34.062;30.688;22.000
2019-08-30 08:53:05;53.000;55.000;56.000;54.000;34.125;30.750;21.938
2019-08-30 08:53:22;53.000;56.000;56.000;54.000;34.188;30.750;22.000
2019-08-30 08:53:38;53.000;56.000;56.000;54.000;34.188;30.875;22.000
2019-08-30 08:53:54;53.000;56.000;56.000;54.000;34.250;30.875;22.000
2019-08-30 08:54:11;53.000;56.000;56.000;54.000;34.312;30.875;22.000
2019-08-30 08:54:27;53.000;56.000;57.000;54.000;34.375;30.938;22.000
2019-08-30 08:54:43;53.000;56.000;57.000;54.000;34.438;30.938;22.062
2019-08-30 08:55:00;53.000;57.000;57.000;55.000;34.438;31.000;22.062
2019-08-30 08:55:16;53.000;57.000;57.000;54.000;34.562;31.062;22.000
2019-08-30 08:55:32;53.000;57.000;57.000;55.000;34.562;31.125;22.000
2019-08-30 08:55:49;53.000;57.000;57.000;55.000;34.625;31.188;22.000
2019-08-30 08:56:05;53.000;57.000;57.000;55.000;34.688;31.188;21.938
2019-08-30 08:56:22;53.000;57.000;57.000;55.000;34.750;31.250;22.000
2019-08-30 08:56:38;53.000;57.000;57.000;55.000;34.750;31.250;21.938
2019-08-30 08:56:55;54.000;57.000;57.000;55.000;34.812;31.312;22.000
2019-08-30 08:57:11;54.000;57.000;58.000;55.000;34.875;31.375;22.000
2019-08-30 08:57:27;54.000;57.000;58.000;55.000;34.938;31.375;22.000
2019-08-30 08:57:44;54.000;57.000;58.000;55.000;35.000;31.438;22.000
2019-08-30 08:58:00;54.000;57.000;58.000;55.000;35.000;31.438;22.000
2019-08-30 08:58:16;54.000;57.000;58.000;56.000;35.000;31.500;22.000
2019-08-30 08:58:33;54.000;57.000;58.000;56.000;35.062;31.562;22.000
2019-08-30 08:58:49;55.000;57.000;58.000;56.000;35.062;31.562;21.938
2019-08-30 08:59:05;55.000;58.000;58.000;56.000;35.125;31.562;21.938
2019-08-30 08:59:22;55.000;58.000;58.000;56.000;35.188;31.625;21.938
2019-08-30 08:59:38;55.000;58.000;58.000;56.000;35.250;31.625;22.000
2019-08-30 08:59:54;55.000;58.000;59.000;56.000;35.250;31.688;21.938
2019-08-30 09:00:11;55.000;58.000;59.000;56.000;35.312;31.750;22.000
2019-08-30 09:00:27;55.000;58.000;59.000;56.000;35.375;31.750;21.938
2019-08-30 09:00:43;55.000;58.000;59.000;56.000;35.375;31.812;22.000
2019-08-30 09:01:00;55.000;58.000;59.000;56.000;35.500;31.875;21.938
2019-08-30 09:01:16;55.000;58.000;59.000;56.000;35.500;31.812;22.000
2019-08-30 09:01:32;55.000;58.000;59.000;56.000;35.562;31.875;22.000
2019-08-30 09:01:49;55.000;58.000;59.000;56.000;35.562;31.938;22.000
2019-08-30 09:02:05;55.000;58.000;59.000;56.000;35.562;32.000;22.000
2019-08-30 09:02:21;55.000;58.000;59.000;56.000;35.625;32.000;21.938
2019-08-30 09:02:38;55.000;59.000;59.000;56.000;35.688;32.000;22.000
2019-08-30 09:02:54;55.000;58.000;59.000;56.000;35.750;32.062;22.000
2019-08-30 09:03:11;55.000;59.000;59.000;56.000;35.812;32.062;21.938
2019-08-30 09:03:27;55.000;59.000;59.000;56.000;35.812;32.125;21.938
2019-08-30 09:03:43;55.000;59.000;59.000;56.000;35.750;32.188;21.938
2019-08-30 09:04:00;55.000;59.000;60.000;56.000;35.875;32.188;22.000
2019-08-30 09:04:16;55.000;59.000;60.000;57.000;35.938;32.188;21.938
2019-08-30 09:04:33;55.000;59.000;60.000;57.000;35.938;32.250;22.000
2019-08-30 09:04:49;56.000;59.000;60.000;57.000;36.000;32.250;22.062
2019-08-30 09:05:05;56.000;59.000;60.000;57.000;36.062;32.312;22.000
2019-08-30 09:05:22;56.000;59.000;60.000;57.000;36.000;32.312;22.000
2019-08-30 09:05:38;56.000;59.000;60.000;57.000;36.062;32.375;21.938
2019-08-30 09:05:54;56.000;59.000;60.000;57.000;36.062;32.438;22.000
2019-08-30 09:06:10;56.000;59.000;60.000;57.000;36.062;32.438;21.938
2019-08-30 09:06:26;56.000;59.000;60.000;57.000;36.125;32.500;21.938
2019-08-30 09:06:43;56.000;59.000;60.000;57.000;36.188;32.500;22.000
2019-08-30 09:06:59;56.000;59.000;60.000;57.000;36.188;32.500;22.000
2019-08-30 09:07:15;56.000;59.000;60.000;57.000;36.250;32.562;22.000
2019-08-30 09:07:32;56.000;59.000;60.000;57.000;36.250;32.562;22.000
2019-08-30 09:07:48;56.000;60.000;60.000;57.000;36.312;32.625;22.062
2019-08-30 09:08:04;56.000;60.000;60.000;57.000;36.375;32.625;22.000
2019-08-30 09:08:21;56.000;59.000;60.000;57.000;36.375;32.625;22.062
2019-08-30 09:08:37;56.000;60.000;60.000;57.000;36.375;32.688;22.000
2019-08-30 09:08:54;57.000;60.000;60.000;57.000;36.438;32.688;22.000
2019-08-30 09:09:10;57.000;60.000;60.000;57.000;36.500;32.750;22.000
2019-08-30 09:09:26;57.000;60.000;60.000;58.000;36.562;32.750;22.000
2019-08-30 09:09:43;57.000;60.000;60.000;58.000;36.562;32.812;21.938
2019-08-30 09:10:00;57.000;60.000;61.000;58.000;36.625;32.812;21.938
2019-08-30 09:10:16;57.000;60.000;61.000;58.000;36.750;32.812;21.938
2019-08-30 09:10:33;57.000;60.000;60.000;58.000;36.812;32.812;21.938
